62, 133592, 18523, -404, 992, 15404, 63, 415, -2086,
83, 133488, 18311, -212, 920, 15064, 43, 730, -2171,
106, 133448, 18248, -376, 1280, 14932, 62, 783, -2381,
128, 133464, 18269, 144, 1168, 14496, 345, 990, -2619,
150, 133552, 18459, 56, 980, 14984, 527, 840, -2781,
172, 133552, 18459, -812, 1012, 14904, 529, 508, -2997,
193, 133464, 18269, -1008, 988, 15076, 315, -35, -3412,
216, 133464, 18269, -700, 792, 14816, 280, -143, -3834,
242, 133592, 18523, -568, 676, 15256, 553, 96, -3977,
264, 133584, 18523, -1260, 788, 15936, 566, 34, -4106,
286, 133632, 18608, -1588, 436, 15424, 417, -133, -4426,
308, 133512, 18374, -1628, 180, 16036, 107, -25, -4882,
329, 133560, 18459, -1236, 336, 16420, -169, 507, -5298,
352, 133632, 18608, -1932, 604, 16580, -536, 996, -5782,
373, 133664, 18673, -1844, 376, 16100, -849, 1152, -6308,
396, 133544, 18437, -276, -432, 15716, -993, 1158, -6249,
418, 133488, 18311, 120, -484, 15724, -780, 1905, -5681,
444, 133504, 18353, 488, -876, 15160, -638, 2011, -4898,
466, 133480, 18311, 184, -900, 14636, -432, 1608, -4102,
488, 133448, 18248, -604, -732, 15424, -374, 1375, -3722,
510, 133456, 18248, -928, -724, 14900, -388, 1203, -3800,
533, 133576, 18501, -1096, -920, 14968, -389, 1057, -3895,
555, 133600, 18544, -1672, -1040, 15648, -401, 680, -4035,
577, 133552, 18459, -344, -1368, 14620, -239, -14, -3836,
599, 133560, 18459, -204, -1348, 14796, 84, -317, -3429,
621, 133528, 18395, 400, -1532, 14884, 390, -45, -2824,
648, 133536, 18416, 268, -1648, 14904, 379, -470, -1599,
669, 133528, 18395, 428, -1400, 15036, 163, -906, -678,
692, 133432, 18206, 928, -1644, 15084, 67, -668, -23,
713, 133480, 18311, 932, -1532, 14668, 114, -386, 605,
735, 133528, 18395, 188, -1064, 15064, 19, -373, 987,
757, 133536, 18416, -40, -872, 15176, -11, -349, 1242,
779, 133464, 18269, -128, -764, 15012, 132, 10, 1400,
801, 133504, 18353, -420, -540, 15160, 331, 776, 1509,
823, 133624, 18608, -736, -364, 15248, 397, 1210, 1488,
849, 133512, 18374, -568, -604, 15228, 569, 1651, 1530,
871, 133592, 18523, -664, -584, 15620, 518, 1588, 1761,
