1169, 262144, 6714, 704, 56, 15132, 48, 170, -282,
1190, 133432, 18206, 640, 132, 15160, 53, 153, -285,
1212, 133528, 18395, 668, 104, 15164, 35, 199, -271,
1234, 133496, 18332, 676, -12, 15140, 35, 181, -285,
1256, 133552, 18459, 648, 44, 15248, 40, 174, -290,
1277, 133568, 18480, 624, 20, 15148, 47, 187, -267,
1299, 133600, 18544, 760, 116, 15184, 21, 217, -262,
1321, 133560, 18459, 676, 12, 15236, 30, 180, -269,
1343, 133560, 18459, 696, 104, 15156, 35, 189, -263,
1370, 133528, 18395, 660, 48, 15132, 36, 193, -272,
1391, 133608, 18565, 612, 52, 15248, 58, 186, -292,
1414, 133512, 18374, 772, 52, 15304, 42, 190, -268,
1435, 133600, 18544, 668, 108, 15160, 53, 227, -274,
1457, 133576, 18501, 636, 120, 15228, 25, 195, -278,
1479, 133616, 18587, 720, 80, 15072, 33, 195, -270,
1501, 133488, 18311, 636, 208, 15196, 35, 184, -278,
1522, 133520, 18374, 672, 28, 15244, 67, 181, -272,
1545, 133528, 18395, 752, 56, 15352, 47, 208, -281,
1570, 133608, 18565, 632, 96, 15284, 58, 220, -291,
1593, 133448, 18248, 612, 88, 15068, 53, 190, -261,
1614, 133448, 18248, 736, 92, 15244, 27, 164, -272,
1636, 133392, 18123, 612, 180, 15168, 53, 184, -262,
1658, 133392, 18123, 652, 92, 15032, 41, 181, -253,
1680, 133464, 18269, 640, 112, 15240, 46, 155, -279,
1701, 133448, 18248, 680, 108, 15312, 27, 207, -267,
1724, 133432, 18206, 760, -64, 15200, 35, 182, -262,
1745, 133456, 18248, 608, 148, 15192, 24, 187, -263,
1767, 133528, 18395, 760, 156, 15124, 35, 170, -265,
1794, 133480, 18311, 676, 164, 15224, 45, 213, -262,
1815, 133568, 18480, 728, 120, 15292, 32, 183, -260,
1838, 133536, 18416, 708, 0, 15284, 26, 194, -256,
1859, 133472, 18290, 644, 100, 15428, 51, 189, -287,
1881, 133472, 18290, 728, 124, 15168, 45, 196, -267,
1903, 133488, 18311, 744, 76, 15040, 48, 201, -266,
1925, 133488, 18311, 744, 80, 15204, 51, 200, -296,
1947, 133552, 18459, 600, 84, 15132, 52, 181, -291,
1969, 133520, 18374, 588, 148, 15232, 43, 183, -286,
1995, 133504, 18353, 712, 44, 15180, 69, 192, -281,
2017, 133536, 18416, 624, 112, 15044, 33, 183, -272,
2038, 133528, 18395, 684, 108, 15164, 29, 191, -258,
2061, 133464, 18269, 648, 52, 15200, 60, 173, -255,
2082, 133432, 18206, 584, 76, 15096, 25, 186, -259,
2104, 133472, 18290, 600, 92, 15176, 34, 193, -279,
2126, 133480, 18311, 632, 52, 15064, 37, 200, -281,
2148, 133576, 18501, 776, 104, 15116, 57, 222, -275,
2169, 133472, 18290, 716, 88, 15160, 30, 200, -295,
2192, 133440, 18227, 700, 124, 15040, 56, 185, -271,
2217, 133568, 18480, 652, 20, 15104, 49, 184, -268,
2240, 133432, 18206, 732, 116, 15188, 37, 205, -259,
2262, 133448, 18248, 692, 104, 15108, 47, 161, -300,
2283, 133520, 18374, 712, 168, 15160, 51, 178, -256,
2306, 133584, 18523, 664, 136, 15080, 79, 190, -266,
2327, 133560, 18459, 608, 128, 15188, 49, 178, -291,
2349, 133488, 18311, 660, 0, 15084, 38, 175, -280,
2371, 133504, 18353, 728, 88, 15144, 29, 199, -282,
2393, 133472, 18290, 684, 152, 15152, 53, 191, -281,
2414, 133488, 18311, 588, 100, 15080, 30, 205, -270,
2441, 133488, 18311, 644, 148, 15116, 30, 177, -269,
2463, 133472, 18290, 692, 76, 14984, 48, 167, -252,
2485, 133376, 18103, 760, 88, 15144, 56, 209, -282,
2506, 133432, 18206, 608, 56, 15340, 37, 198, -285,
2529, 133472, 18290, 784, 92, 15136, 77, 169, -275,
2550, 133504, 18353, 724, 88, 15068, 52, 211, -270,
2572, 133472, 18290, 720, 164, 15380, 62, 197, -257,
2594, 133504, 18353, 660, 48, 15208, 56, 207, -271,
2616, 133560, 18459, 636, 56, 15304, 20, 199, -260,
2642, 133576, 18501, 756, 112, 15220, 41, 156, -256,
2664, 133520, 18374, 680, 64, 15228, 35, 168, -259,
2685, 133504, 18353, 680, 160, 15212, 63, 168, -262,
2708, 133512, 18374, 524, 60, 15236, 51, 190, -273,
